Rank 	Sales 	Title 	Developer 	Publisher
1 	170000000 	Tetris 	Elektronorgtechnica 	Spectrum HoloByte
2 	144000000 	Minecraft  	Mojang 	Mojang
3 	95000000 	Grand Theft Auto V  	Rockstar North 	Rockstar Games
4 	82850000 	Wii Sports  	Nintendo EAD 	Nintendo
5 	40240000 	Super Mario Bros.  	Nintendo 	Nintendo
6 	40000000 	PlayerUnknown's Battlegrounds  	PUBG Corporation 	PUBG Corporation
7 	37100000 	Mario Kart Wii  	Nintendo EAD 	Nintendo
8 	33080000 	Wii Sports Resort  	Nintendo EAD 	Nintendo
9 	31380000 	Pokémon Red and Blue 	Game Freak 	Nintendo
10 	30800000 	New Super Mario Bros. 	Nintendo EAD 	Nintendo
11 	30200000 	New Super Mario Bros. Wii  	Nintendo EAD 	Nintendo
12 	30000000 	The Elder Scrolls V: Skyrim 	Bethesda Game Studios 	Bethesda Softworks
13 	28300000 	Duck Hunt  	Nintendo R&D1 	Nintendo
14 	28020000 	Wii Play 	Nintendo EAD 	Nintendo
15 	27500000 	Grand Theft Auto: San Andreas 	Rockstar North 	Rockstar Games
16 	26500000 	Call of Duty: Modern Warfare 3  	Infinity Ward & Sledgehammer Games 	Activision
17 	26200000 	Call of Duty: Black Ops 	Treyarch 	Activision
18 	25000000 	Grand Theft Auto IV 	Rockstar North 	Rockstar Games
19 	24200000 	Call of Duty: Black Ops II 	Treyarch 	Activision
20 	24000000 	Kinect Adventures!  	Good Science Studio 	Microsoft Studios
21 	23960000 	Nintendogs  	Nintendo EAD 	Nintendo
22 	23600000 	Mario Kart DS  	Nintendo EAD 	Nintendo
23 	23100000 	Pokémon Gold and Silver 	Game Freak 	Nintendo
24 	22700000 	Call of Duty: Modern Warfare 2  	Infinity Ward 	Activision
25 	22670000 	Wii Fit 	Nintendo EAD 	Nintendo
26 	21130000 	Wii Fit Plus 	Nintendo EAD 	Nintendo
27 	20610000 	Super Mario World  	Nintendo EAD 	Nintendo
28 	20000000 	Frogger 	Konami 	Sega
29 	20000000 	Lemmings 	DMA Design 	Psygnosis
30 	20000000 	Terraria  	Re-Logic 	Re-Logic
31 	19010000 	Brain Age 	Nintendo SPD 	Nintendo
32 	19000000 	Call of Duty: Ghosts 	Infinity Ward	Activision
33 	18140000 	Super Mario Land 	Nintendo R&D1	Nintendo
34 	17670000 	Pokémon Diamond and Pearl 	Game Freak 	The Pokémon Company
35 	17500000 	Grand Theft Auto: Vice City 	Rockstar North 	Rockstar Games
36 	17280000 	Super Mario Bros. 3  	Nintendo R&D4 	Nintendo
37 	17040000 	Mario Kart 7  	Nintendo EAD 	Nintendo
38 	16290000 	Pokémon X and Y 	Game Freak 	The Pokémon Company
39 	16220000 	Pokémon Ruby and Sapphire 	Game Freak 	The Pokémon Company
40 	16100000 	Pokémon Sun and Moon 	Game Freak 	The Pokémon Company
41 	16000000 	The Sims 	Maxis 	Electronic Arts
42 	16000000 	Need for Speed: Most Wanted 	EA Black Box 	Electronic Arts
43 	15700000 	Call of Duty 4: Modern Warfare 	Infinity Ward 	Activision
44 	15700000 	Call of Duty: World at War 	Treyarch 	Activision
45 	15640000 	Pokémon Black and White 	Game Freak 	The Pokémon Company
46 	15000000 	Sonic the Hedgehog  	Sonic Team 	Sega
47 	15000000 	Red Dead Redemption 	Rockstar San Diego 	Rockstar Games
48 	15000000 	Battlefield 3 	EA DICE 	Electronic Arts
49 	15000000 	Battlefield 1 	EA DICE 	Electronic Arts
50 	14890000 	Gran Turismo 3: A-Spec  	Polyphony Digital 	Sony Computer Entertainment
